Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,8,10,0.1149131008198224,0.9638671875,131533.0,133463.0,5972.0,3962.0,0.9890149831771852,0.10075058165795704,0.967808485031128,6940.0,7130.0,277.0,191.0,0.9911619424819946
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,9,10,0.11389565082451952,0.9643400311470032,131599.0,133527.0,5906.0,3898.0,0.9892223477363586,0.09973513336860136,0.968771517276764,6926.0,7158.0,291.0,163.0,0.9910190105438232
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,0,10,0.2281706626293715,0.9275197386741638,128320.0,126683.0,9185.0,10742.0,0.9702898859977722,0.18155562958013471,0.942633092403412,6712.0,6992.0,505.0,329.0,0.9781438708305359
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,1,10,0.17302001444227555,0.9441712498664856,129404.0,130177.0,8101.0,7248.0,0.9788044691085817,0.15468341689098158,0.9486173987388612,6802.0,6989.0,415.0,332.0,0.9817964434623718
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,2,10,0.15480278369237266,0.9508238434791564,130018.0,131392.0,7487.0,6033.0,0.9817512035369872,0.13721522343549855,0.9565277099609376,6814.0,7092.0,403.0,229.0,0.9854176640510559
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,3,10,0.14190110217016874,0.955203115940094,130532.0,132082.0,6973.0,5343.0,0.9842929840087892,0.12771115755342785,0.9574907422065736,6930.0,6990.0,287.0,331.0,0.9873644709587096
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,4,10,0.13436581303873618,0.9574255347251892,130857.0,132368.0,6648.0,5057.0,0.9856974482536316,0.11946832059723325,0.9638877511024476,6883.0,7130.0,334.0,191.0,0.988095223903656
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,5,10,0.12966420874284146,0.9589822888374328,131038.0,132615.0,6467.0,4810.0,0.9864928126335144,0.11632443892284315,0.9646443724632264,6894.0,7130.0,323.0,191.0,0.9884405732154846
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,6,10,0.1256306951036906,0.9605754017829896,131181.0,132910.0,6324.0,4515.0,0.98725825548172,0.11253290859428114,0.9656073451042176,6902.0,7136.0,315.0,185.0,0.9890672564506532
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,7,10,0.12358849655782755,0.9614083766937256,131290.0,133030.0,6215.0,4395.0,0.9876028299331664,0.10945165788705878,0.9658825397491456,6930.0,7112.0,287.0,209.0,0.9898954629898072
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,8,10,0.12106079479713135,0.9618338942527772,131358.0,133079.0,6147.0,4346.0,0.9880079030990601,0.10675134741549873,0.9663640260696412,6932.0,7117.0,285.0,204.0,0.9901326298713684
taylor_relu,27/04/2020 14:12,1354.3735144138334,32,9,10,0.1192280596947948,0.9624304175376892,131401.0,133200.0,6104.0,4225.0,0.9883725643157959,0.106815053036285,0.9662952423095704,6939.0,7109.0,278.0,212.0,0.9899515509605408
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,0,10,0.2294685788858717,0.9258393049240112,128399.0,126142.0,9106.0,11283.0,0.9696394801139832,0.17706345992380887,0.9408446550369264,6714.0,6964.0,503.0,357.0,0.9787005782127379
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,1,10,0.17386144226452785,0.9420397877693176,129154.0,129841.0,8351.0,7584.0,0.978687584400177,0.1576426953655405,0.947310507297516,6778.0,6994.0,439.0,327.0,0.9817016124725342
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,2,10,0.16040139893155975,0.9479394555091858,129831.0,130786.0,7674.0,6639.0,0.9810580611228944,0.14790781038177933,0.953019678592682,6801.0,7054.0,416.0,267.0,0.9834031462669371
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,3,10,0.15321984568384706,0.9515295028686525,130143.0,131461.0,7362.0,5964.0,0.9821412563323976,0.1402215762116391,0.9537762999534608,6896.0,6970.0,321.0,351.0,0.9845846891403198
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,4,10,0.14623430999653006,0.9540573954582214,130412.0,131887.0,7093.0,5538.0,0.9833915829658508,0.13146400529507402,0.9579722285270692,6886.0,7041.0,331.0,280.0,0.9857774972915648
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,5,10,0.13945163965671825,0.9560651779174804,130587.0,132264.0,6918.0,5161.0,0.984670102596283,0.12505238854286205,0.9604485034942628,6887.0,7076.0,330.0,245.0,0.9869412779808044
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,6,10,0.13304927513505782,0.9580147862434388,130843.0,132544.0,6662.0,4881.0,0.985885739326477,0.11959682675333475,0.9629935622215272,6907.0,7093.0,310.0,228.0,0.9878870844841005
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,7,10,0.12889958454816108,0.9592514634132384,130989.0,132738.0,6516.0,4687.0,0.986752152442932,0.11613689966101087,0.9636126160621644,6920.0,7089.0,297.0,232.0,0.9888638854026794
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,8,10,0.1259258490036152,0.9598879814147948,131076.0,132826.0,6429.0,4599.0,0.9872938394546508,0.11238205103873222,0.9645755887031556,6915.0,7108.0,302.0,213.0,0.9893512725830078
chebyshev_relu,27/04/2020 14:38,1567.2317383289335,32,9,10,0.12389493700869846,0.9605644941329956,131134.0,132954.0,6371.0,4471.0,0.9876826405525208,0.11174306265260547,0.965469777584076,6923.0,7113.0,294.0,208.0,0.9891735315322876
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,0,10,0.2540022864780603,0.8995635509490967,124280.0,123037.0,13225.0,14388.0,0.9616525769233704,0.1689687711793367,0.9455220699310303,6753.0,6993.0,464.0,328.0,0.9791381359100342
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,1,10,0.17232425962427594,0.9447859525680542,129411.0,130339.0,8094.0,7086.0,0.9783461093902588,0.15270776976418063,0.9503370523452759,6808.0,7008.0,409.0,313.0,0.9821776151657104
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,2,10,0.15969339280738465,0.9497144818305969,129936.0,131169.0,7569.0,6256.0,0.9807864427566528,0.14788890321795264,0.9539138674736023,6787.0,7081.0,430.0,240.0,0.9833613038063049
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,3,10,0.15096997955559738,0.9529625773429871,130262.0,131736.0,7243.0,5689.0,0.9824110865592957,0.13676250263206044,0.9552896022796631,6902.0,6986.0,315.0,335.0,0.9852451086044312
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,4,10,0.14342569084387835,0.9552686214447021,130533.0,132099.0,6972.0,5326.0,0.9838200211524963,0.12825859383861732,0.9619617462158203,6880.0,7105.0,337.0,216.0,0.9862089157104492
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,5,10,0.1379482550134405,0.9571018218994141,130737.0,132399.0,6768.0,5026.0,0.9848923683166504,0.12379621355943633,0.9626495838165283,6871.0,7124.0,346.0,197.0,0.9872131943702698
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,6,10,0.1332374309131861,0.9583530426025391,130947.0,132533.0,6558.0,4892.0,0.9858703017234802,0.12009366795478045,0.9631311297416687,6898.0,7104.0,319.0,217.0,0.9876781702041626
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,7,10,0.12845109788700193,0.9593459963798523,131036.0,132717.0,6469.0,4708.0,0.9867439866065979,0.11493953349690668,0.9633374810218811,6899.0,7106.0,318.0,215.0,0.9889925122261047
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,8,10,0.12429633836227003,0.9611137509346008,131250.0,132989.0,6255.0,4436.0,0.9874928593635559,0.11125204793433406,0.9649882912635803,6904.0,7125.0,313.0,196.0,0.9895679950714111
chebyshev_integral_relu,27/04/2020 15:05,1578.5724620819092,32,9,10,0.12283255448679045,0.9613355994224548,131287.0,133013.0,6218.0,4412.0,0.9878026843070984,0.11132659860983365,0.9650570750236511,6927.0,7103.0,290.0,218.0,0.9893736839294434
