Model Name,Date,Train Time,Batch Size,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
taylor_tanh,21/04/2020 02:23,178.6224205493927,32,1,0.19207829993581457,0.9362856149673462,128771.0,128642.0,8712.0,8805.0,0.9754231572151184,0.15875889473857505,0.9484110474586487,6841.0,6947.0,398.0,352.0,0.9808694124221802
taylor_tanh,21/04/2020 02:26,177.70361256599426,32,1,0.19041725808692708,0.9371985793113708,128784.0,128880.0,8699.0,8567.0,0.9757323861122131,0.15764085904495606,0.9484110474586487,6850.0,6938.0,389.0,361.0,0.9811968803405762
taylor_tanh,21/04/2020 02:29,178.17497730255127,32,1,0.19166809876475116,0.9359582662582397,128621.0,128702.0,8862.0,8745.0,0.975454568862915,0.1599234555155953,0.9477232098579407,6827.0,6951.0,412.0,348.0,0.9808822274208069
taylor_tanh,21/04/2020 02:32,179.09438633918762,32,1,0.19368577870307838,0.9358636736869812,128750.0,128547.0,8733.0,8900.0,0.9751883149147034,0.16156448022992725,0.9466226696968079,6837.0,6925.0,402.0,374.0,0.9805458188056946
taylor_relu,21/04/2020 02:55,1389.0715630054474,32,10,0.22409235946542763,0.9299276471138,128642.0,127023.0,8841.0,10424.0,0.9708958864212036,0.17436017415836436,0.9416013360023499,6849.0,6840.0,390.0,459.0,0.9787794351577759
taylor_relu,21/04/2020 02:58,167.61741852760315,32,1,0.22485534401390103,0.9288691878318787,128240.0,127134.0,9243.0,10313.0,0.9707874059677124,0.17138709908117863,0.9435272812843323,6857.0,6860.0,382.0,439.0,0.9793727397918701
taylor_relu,21/04/2020 03:01,166.32952213287354,32,1,0.226247256138974,0.9295311570167542,128391.0,127165.0,9092.0,10282.0,0.9706991314888,0.17209168283499687,0.9435272812843323,6848.0,6869.0,391.0,430.0,0.9794278740882874
taylor_relu,21/04/2020 03:04,167.6085319519043,32,1,0.22533699452814174,0.928512692451477,128126.0,127150.0,9357.0,10297.0,0.970902681350708,0.17190626818337718,0.9433897137641907,6852.0,6863.0,387.0,436.0,0.9793917536735535
taylor_relu,21/04/2020 03:07,166.9792594909668,32,1,0.22696664587042104,0.927348792552948,128062.0,126894.0,9421.0,10553.0,0.9705362319946289,0.17521757294968016,0.9413949847221375,6849.0,6837.0,390.0,462.0,0.9788755774497986
taylor_relu,21/04/2020 03:10,167.44340658187866,32,1,0.22774347345227955,0.9280216693878174,128312.0,126829.0,9171.0,10618.0,0.970341682434082,0.1737745452848027,0.9420140385627747,6856.0,6839.0,383.0,460.0,0.9790707230567932
taylor_relu,21/04/2020 03:13,171.1821985244751,32,1,0.2235051489258343,0.9297311902046204,128323.0,127288.0,9160.0,10159.0,0.9710323214530945,0.17264156075713888,0.9423579573631287,6854.0,6846.0,385.0,453.0,0.9790676236152649
taylor_relu,21/04/2020 03:16,168.97814202308655,32,1,0.2243872352127371,0.9287964105606079,127851.0,127503.0,9632.0,9944.0,0.9709030985832214,0.17123650619343758,0.9434584975242615,6851.0,6865.0,388.0,434.0,0.9794054627418518
taylor_relu,21/04/2020 03:18,168.2725169658661,32,1,0.2257064339202345,0.9293420314788818,128278.0,127226.0,9205.0,10221.0,0.9708265066146851,0.17466433318392055,0.9425643086433411,6855.0,6848.0,384.0,451.0,0.9789638519287109
taylor_relu,21/04/2020 03:21,172.31077408790588,32,1,0.22763959496397115,0.9286145567893982,128324.0,126980.0,9159.0,10467.0,0.9703251123428345,0.17525880517198977,0.9418076872825623,6850.0,6842.0,389.0,457.0,0.9787021279335022
taylor_relu,21/04/2020 03:25,172.95798659324646,32,1,0.2239756326259724,0.9297348260879517,128419.0,127193.0,9064.0,10254.0,0.9708482623100281,0.1713930830914998,0.9434584975242615,6853.0,6863.0,386.0,436.0,0.9792311191558838
chebyshev_relu,21/04/2020 03:51,1608.721687555313,32,10,0.2268971125443817,0.927461564540863,128155.0,126832.0,9328.0,10615.0,0.9701032638549805,0.18051978913650238,0.9382996559143066,6834.0,6807.0,405.0,492.0,0.9777335524559021
chebyshev_relu,21/04/2020 03:55,197.72014093399048,32,1,0.22881439613490767,0.9270796179771423,128046.0,126836.0,9437.0,10611.0,0.9697234034538269,0.17647334049645572,0.9396753311157227,6822.0,6839.0,417.0,460.0,0.978410542011261
chebyshev_relu,21/04/2020 03:58,192.39629530906677,32,1,0.23007922060222644,0.9262612462043762,128185.0,126472.0,9298.0,10975.0,0.9694121479988098,0.17635100565195772,0.9396065473556519,6832.0,6828.0,407.0,471.0,0.9786313772201538
chebyshev_relu,21/04/2020 04:02,190.4981245994568,32,1,0.22530922076885357,0.9285745620727539,128204.0,127089.0,9279.0,10358.0,0.9703671932220459,0.17504442741789208,0.9407758712768555,6831.0,6846.0,408.0,453.0,0.9787256717681885
chebyshev_relu,21/04/2020 04:05,195.59983587265015,32,1,0.22991491807145367,0.9267159104347229,127773.0,127009.0,9710.0,10438.0,0.9696462750434875,0.1830903020533526,0.9374054074287415,6831.0,6797.0,408.0,502.0,0.9773607850074768
chebyshev_relu,21/04/2020 04:08,196.4745500087738,32,1,0.22951135474489182,0.9264176487922668,127913.0,126787.0,9570.0,10660.0,0.9695757627487183,0.17634660667809124,0.9398816823959351,6819.0,6845.0,420.0,454.0,0.9784414172172546
chebyshev_relu,21/04/2020 04:12,199.2174437046051,32,1,0.22692052248129738,0.9273742437362671,128276.0,126687.0,9207.0,10760.0,0.9700729250907898,0.17734591896784224,0.9387123584747314,6834.0,6813.0,405.0,486.0,0.9783886075019836
chebyshev_relu,21/04/2020 04:15,198.10725355148315,32,1,0.22648996502010352,0.9272687435150146,127751.0,127183.0,9732.0,10264.0,0.9700685143470764,0.17492690272214145,0.9399504661560059,6828.0,6837.0,411.0,462.0,0.978756844997406
chebyshev_relu,21/04/2020 04:19,199.49306726455688,32,1,0.22327946856977274,0.9286982417106628,128262.0,127065.0,9221.0,10382.0,0.9706376194953918,0.1732339562236041,0.941532552242279,6823.0,6865.0,416.0,434.0,0.9789113998413086
chebyshev_relu,21/04/2020 04:22,207.44061279296875,32,1,0.23013657517090277,0.9263412356376648,128060.0,126619.0,9423.0,10828.0,0.9694862365722656,0.17654783296025853,0.939537763595581,6836.0,6823.0,403.0,476.0,0.978459894657135
chebyshev_relu,21/04/2020 04:26,202.49545526504517,32,1,0.2289398116840045,0.9277234077453613,127893.0,127166.0,9590.0,10281.0,0.9698371887207031,0.18066842860582852,0.9381620287895203,6833.0,6806.0,406.0,493.0,0.9776784777641296
chebyshev_integral_relu,21/04/2020 04:53,1635.7018892765045,32,10,0.2581292454404109,0.8976830244064331,123643.0,123157.0,13840.0,14290.0,0.9604242444038391,0.1681357110394525,0.9444903135299683,6855.0,6876.0,384.0,423.0,0.9793580174446106
chebyshev_integral_relu,21/04/2020 04:57,203.5877046585083,32,1,0.2558396878472907,0.8985305428504944,123845.0,123188.0,13638.0,14259.0,0.961076021194458,0.16750178306839755,0.9464162588119507,6838.0,6921.0,401.0,378.0,0.9794217944145203
chebyshev_integral_relu,21/04/2020 05:01,205.8079354763031,32,1,0.25718057224204444,0.8990070223808289,123959.0,123205.0,13524.0,14242.0,0.9608885049819946,0.16901832789568055,0.9459347724914551,6827.0,6925.0,412.0,374.0,0.9792025685310364
chebyshev_integral_relu,21/04/2020 05:04,205.32910466194153,32,1,0.2545972330052157,0.8999672532081604,123986.0,123442.0,13497.0,14005.0,0.9612716436386108,0.16777108813339914,0.9460723400115967,6818.0,6936.0,421.0,363.0,0.9793809652328491
chebyshev_integral_relu,21/04/2020 05:08,202.94545197486877,32,1,0.25779911545951306,0.8968973755836487,123475.0,123109.0,14008.0,14338.0,0.9603066444396973,0.16691358709519002,0.9466226696968079,6792.0,6970.0,447.0,329.0,0.9794551730155945
chebyshev_integral_relu,21/04/2020 05:11,202.01760149002075,32,1,0.25826035959690347,0.8966755270957947,123593.0,122930.0,13890.0,14517.0,0.960425078868866,0.16821505313423743,0.9453157186508179,6827.0,6916.0,412.0,383.0,0.9792715311050415
chebyshev_integral_relu,21/04/2020 05:15,203.26992988586426,32,1,0.25848670099184656,0.8977412581443787,123735.0,123081.0,13748.0,14366.0,0.9604634642601013,0.1707436228205584,0.9446966648101807,6832.0,6902.0,407.0,397.0,0.9788400530815125
chebyshev_integral_relu,21/04/2020 05:18,206.45077323913574,32,1,0.253019570073443,0.900010883808136,123982.0,123458.0,13501.0,13989.0,0.9617381691932678,0.16646895061551598,0.9472417235374451,6824.0,6947.0,415.0,352.0,0.9798079133033752
chebyshev_integral_relu,21/04/2020 05:22,207.11274075508118,32,1,0.2580811426494995,0.8998326659202576,124235.0,123156.0,13248.0,14291.0,0.9611541032791138,0.1718261475526314,0.9430457949638367,6852.0,6858.0,387.0,441.0,0.9786537289619446
chebyshev_integral_relu,21/04/2020 05:26,213.33165168762207,32,1,0.2559760812888282,0.8988651633262634,123946.0,123179.0,13537.0,14268.0,0.9611499309539795,0.16878137526879172,0.9471041560173035,6804.0,6965.0,435.0,334.0,0.9789090752601624
chebyshev_integral_relu,21/04/2020 05:30,214.33826518058777,32,1,0.2559992711679016,0.8980758786201477,123743.0,123165.0,13740.0,14282.0,0.9608227610588074,0.16715938962707988,0.9456596374511719,6882.0,6866.0,357.0,433.0,0.9796223640441895
